name,price,image_path,description,category
Bijoux d'Inde et ethniques. Accessoires de mode.,0.00,Image Manquante,"La topaze est de couleur bleu translucide. C’est une pierre semi précieuse .Les bijoux et colliers en pierres sont importés d’Inde
Hauteur 22 cm",bijoux
Bijoux d'Inde et ethniques. Accessoires de mode.,0.00,_raw_assets/Products_HD/DSC05581-440x294.jpeg,"Bracelet est en coton ciré monté d’un coquillage cauri. Sa taille est ajustable, vous pourrez le porter en été. C’est un bracelet unisexe pour petits et grands
longueur bracelet argent 18à21cm",bijoux
Bijoux d'Inde et ethniques. Accessoires de mode.,0.00,Image Manquante,"Ces boucles d’oreilles sur une tige en argent et une belle pierre ronde en Améthyste de fabrication artisanale.
C’est un bijou léger de taille moyenne. Elles sont parfaites pour égayer vos tenues et vous apportent une touche ethnique et originale
Boucle d’oreille 5cm hauteur  Pierre 5mm",bijoux
Bijoux d'Inde et ethniques. Accessoires de mode.,0.00,_raw_assets/Products_HD/DSC05404-1-440x294.jpeg,"Ces boucles d’oreilles tibétaines sont rondes
C’est un bijou léger de taille moyenne. Elles sont parfaites pour égayer vos tenues et vous apportent une touche ethnique et originale
Dim boucle d’oreille 3 cm",bijoux
Bijoux d'Inde et ethniques. Accessoires de mode.,0.00,_raw_assets/Products_HD/DSC05577-440x294.jpeg,"Bracelet est en coton ciré monté d’un coquillage cauri. Sa taille est ajustable, vous pourrez le porter en été. C’est un bracelet unisexe pour petits et grands
longueur bracelet argent 18à21cm",bijoux
Bijoux d'Inde et ethniques. Accessoires de mode.,0.00,_raw_assets/Products_HD/DSC05460-440x294.jpeg,,bijoux
Bijoux d'Inde et ethniques. Accessoires de mode.,0.00,_raw_assets/Products_HD/DSC05414-1-440x294.jpeg,,bijoux
Bijoux d'Inde et ethniques. Accessoires de mode.,0.00,Image Manquante,"Ces boucles d’oreilles sur une tige en argent et une belle pierre ronde en Améthyste de fabrication artisanale.
C’est un bijou léger de taille moyenne. Elles sont parfaites pour égayer vos tenues et vous apportent une touche ethnique et originale
Boucle d’oreille 5cm hauteur  Pierre 5mm",bijoux
Bijoux d'Inde et ethniques. Accessoires de mode.,0.00,Image Manquante,"Ces boucles d’oreilles sur une tige en argent et une belle pierre ronde en Améthyste de fabrication artisanale.
C’est un bijou léger de taille moyenne. Elles sont parfaites pour égayer vos tenues et vous apportent une touche ethnique et originale
Boucle d’oreille 5cm hauteur  Pierre 5mm",bijoux
Bijoux d'Inde et ethniques. Accessoires de mode.,0.00,_raw_assets/Products_HD/DSC05567-440x294.jpeg,,bijoux
Bijoux d'Inde et ethniques. Accessoires de mode.,0.00,_raw_assets/Products_HD/DSC05568-440x294.jpeg,,bijoux
Bijoux d'Inde et ethniques. Accessoires de mode.,0.00,_raw_assets/Products_HD/DSC05575-440x294.jpeg,"Ces boucles d’oreille  sont des créoles ethniques en  argent. Elles sont finement ciselées à la main, vous les porterez avec tout.
la créole est le bijou qui ne se démode jamais, celles ci ont une touche d’originalité en plus!
diam créole 2,5 cm",bijoux
Bijoux d'Inde et ethniques. Accessoires de mode.,0.00,Image Manquante,"Tous mes bijoux sont de fabrication artisanale en provenance de l’Inde
Elles sont parfaites pour égayer vos tenues et vous apportent une touche originale
Dim boucle d’oreille 4cm  Pierre 10mm",bijoux
Bijoux d'Inde et ethniques. Accessoires de mode.,0.00,_raw_assets/Products_HD/DSC05410-1-440x294.jpeg,,bijoux
Bijoux d'Inde et ethniques. Accessoires de mode.,0.00,Image Manquante,"Tous mes bijoux sont de fabrication artisanale en provenance de l’Inde
Elles sont parfaites pour égayer vos tenues et vous apportent une touche originale
Dim boucle d’oreille 4cm  Pierre 10mm",bijoux
Bijoux d'Inde et ethniques. Accessoires de mode.,0.00,_raw_assets/Products_HD/DSC05580-440x294.jpeg,"Bracelet est en coton ciré monté d’un coquillage cauri. Sa taille est ajustable, vous pourrez le porter en été. C’est un bracelet unisexe pour petits et grands
longueur bracelet argent 18à21cm",bijoux
Bijoux d'Inde et ethniques. Accessoires de mode.,0.00,Image Manquante,"Ce bracelet indien est en perles argentées et perles ?en corail  Sa taille est ajustable sur le bras. C’est un bracelet coloré et simple à porter pour égayer une tenue.
Longueur bracelet: 17cm à 22cm",bijoux
Bijoux d'Inde et ethniques. Accessoires de mode.,0.00,_raw_assets/Products_HD/DSC05412-1-440x294.jpeg,"La topaze est de couleur bleu translucide. C’est une pierre semi précieuse .Les bijoux et colliers en pierres sont importés d’Inde
Hauteur 22 cm",bijoux
Bijoux d'Inde et ethniques. Accessoires de mode.,0.00,_raw_assets/Products_HD/DSC05415-1-440x294.jpeg,,bijoux
Bijoux d'Inde et ethniques. Accessoires de mode.,0.00,_raw_assets/Products_HD/DSC05583-440x294.jpeg,,bijoux
